Source,All Sessions,Sessions with Check-Out,Sessions with Transactions,PC_Checkout,PC_Transactions
google,76370,4944,745,6.47374623543276,0.975513945266466
(direct),54252,2380,385,4.38693504386935,0.709651257096513
google my business,54115,5042,602,9.3171948627922,1.11244571745357
revinate,17217,1621,93,9.41511296973921,0.540163791601324
GoogleHPA,6204,1662,201,26.78916827853,3.23984526112186
bing,5395,553,111,10.2502316960148,2.05746061167748
tripadvisor.com,4361,330,24,7.56707177252924,0.550332492547581
m.facebook.com,4102,145,2,3.53486104339347,0.0487567040468064
keyscams.com,3531,6,1,0.169923534409516,0.0283205890682526
facebook,3343,115,2,3.44002393060126,0.0598265031408914
Fla-Keys.com,3226,12,0,0.37197768133912,0
adroll,2330,7,1,0.300429184549356,0.0429184549356223
fb,2221,51,0,2.29626294461954,0
l.facebook.com,1529,96,4,6.27861347285808,0.26160889470242
duckduckgo,1347,90,15,6.6815144766147,1.11358574610245
Flakeys,1335,31,2,2.32209737827715,0.149812734082397
yahoo,1169,97,20,8.29769033361848,1.71086398631309
faroblancomarina.com,959,44,6,4.5881126173097,0.625651720542231
lm.facebook.com,754,26,1,3.44827586206897,0.13262599469496
yext,658,67,11,10.1823708206687,1.67173252279635
Tripadvisor,609,126,9,20.6896551724138,1.47783251231527
worldcam.eu,562,2,0,0.355871886120996,0
Facebook,542,2,0,0.3690036900369,0
linktree,440,28,0,6.36363636363636,0
theknot.com,379,52,16,13.7203166226913,4.22163588390501
m.yelp.com,372,2,1,0.537634408602151,0.268817204301075
fantasyfest,362,20,0,5.52486187845304,0
visitflorida.com,357,23,1,6.44257703081232,0.280112044817927
lighthousegrillmarathon.com,323,23,4,7.12074303405573,1.23839009287926
shanercorp.com,272,2,0,0.735294117647059,0
7mbrun.com,215,19,7,8.83720930232558,3.25581395348837
Trivago,210,43,5,20.4761904761905,2.38095238095238
admin.symphonyhotelmarketing.com,205,4,0,1.95121951219512,0
facebook.com,196,0,0,0,0
maps.apple.com,179,1,0,0.558659217877095,0
365atlantatraveler.com,167,1,0,0.598802395209581,0
weddingrule.com,159,1,0,0.628930817610063,0
raceworldoffshore.com,131,28,5,21.3740458015267,3.81679389312977
fla-keys.com,129,0,0,0,0
search.aol.com,125,29,3,23.2,2.4
Bing,113,22,4,19.4690265486726,3.53982300884956
efivabgf,112,0,0,0,0
weddingwire.com,110,1,0,0.909090909090909,0
eosinvestors.com,106,2,1,1.88679245283019,0.943396226415094
tripadvisor.co.uk,96,11,0,11.4583333333333,0
floridakeys.com,92,3,0,3.26086956521739,0
Kayak,79,21,2,26.5822784810127,2.53164556962025
marathonseafoodfestival.com,77,3,0,3.8961038961039,0
rickliederband.com,76,0,0,0,0
bizandford.minted.us,69,17,2,24.6376811594203,2.89855072463768
l.instagram.com,66,2,0,3.03030303030303,0
flakeys,65,2,0,3.07692307692308,0
ig,65,5,1,7.69230769230769,1.53846153846154
mrandmrsearp.minted.us,64,23,11,35.9375,17.1875
hootsuite,57,4,1,7.01754385964912,1.75438596491228
klty.com,56,0,0,0,0
tripadvisor.ca,56,4,0,7.14285714285714,0
becomingthebatemans.com,55,13,3,23.6363636363636,5.45454545454545
islabellabeachresort.com,52,0,0,0,0
baidu,51,0,0,0,0
greatlocations.com,51,0,0,0,0
travelzoo.com,47,2,0,4.25531914893617,0
yelp.com,46,3,0,6.52173913043478,0
marketing.revinate.com,45,0,0,0,0
TripAdvisor,45,4,0,8.88888888888889,0
unbouncepages.com,45,7,3,15.5555555555556,6.66666666666667
babylores.net,42,11,2,26.1904761904762,4.76190476190476
herecomestheguide.com,41,0,0,0,0
thefamilyvacationguide.com,41,3,0,7.31707317073171,0
instagram.com,39,1,0,2.56410256410256,0
worldcam.pl,33,0,0,0,0
canva.com,32,1,0,3.125,0
seasquaredcharters.com,29,1,0,3.44827586206897,0
{{site_source_name}},28,1,0,3.57142857142857,0
us.search.yahoo.com,28,4,1,14.2857142857143,3.57142857142857
mail.google.com,27,5,1,18.5185185185185,3.7037037037037
ecosia.org,26,2,0,7.69230769230769,0
flyertalk.com,22,2,0,9.09090909090909,0
opentable.com,22,0,0,0,0
floridakeysmarathon.com,20,0,0,0,0
h2jobboard.com,20,0,0,0,0
it.worldcam.eu,20,0,0,0,0
keysrentalsonline.com,19,0,0,0,0
de.worldcam.eu,18,0,0,0,0
luxurytraveladvisor.com,18,0,0,0,0
keystarconstruction.com,17,0,0,0,0
tripadvisor.fr,17,2,0,11.7647058823529,0
spotcameras.com,16,0,0,0,0
tagassistant.google.com,16,5,5,31.25,31.25
ca.search.yahoo.com,15,4,1,26.6666666666667,6.66666666666667
fureverus.com,15,0,0,0,0
marineweb.com,15,0,0,0,0
pinterest.com,15,0,0,0,0
tambourine.teamwork.com,15,0,0,0,0
fr.worldcam.eu,14,0,0,0,0
walkersmarine.com,14,0,0,0,0
evite.com,13,8,6,61.5384615384615,46.1538461538462
floridahuddle.converve.io,13,0,0,0,0
tripadvisor.es,13,1,0,7.69230769230769,0
albatros-travel.fi,12,0,0,0,0
kayak.com,12,0,0,0,0
search.xfinity.com,12,1,0,8.33333333333333,0
truckthatbeach.com,12,0,0,0,0
dogpile.com,10,1,0,10,0
my2.siteimprove.com,10,0,0,0,0
myblissandbone.com,10,1,1,10,10
startpage.com,10,0,0,0,0
tripadvisor.com.br,10,1,0,10,0
tripadvisor.de,10,2,0,20,0
hotdeals.com,9,2,1,22.2222222222222,11.1111111111111
tickettailor.com,9,2,0,22.2222222222222,0
apple.com,8,0,0,0,0
bize.admin.yelp.com,8,0,0,0,0
campaign.aptivada.com,8,0,0,0,0
follandphotography.com,8,0,0,0,0
travelawaits.com,8,0,0,0,0
eventective.com,7,0,0,0,0
faroblanco-resorts-yachtclub.careerplug.com,7,0,0,0,0
free-url-shortener.rb.gy,7,0,0,0,0
link.edgepilot.com,7,0,0,0,0
travelzoo.lightning.force.com,7,0,0,0,0
url.emailprotection.link,7,0,0,0,0
www-travelawaits-com.cdn.ampproject.org,7,0,0,0,0
youtube.com,7,1,0,14.2857142857143,0
2traveldads.com,6,0,0,0,0
albatros-travel.dk,6,1,0,16.6666666666667,0
gaytravel4u.com,6,0,0,0,0
georgepoveromo.com,6,0,0,0,0
qwant.com,6,1,0,16.6666666666667,0
static.triptease.io,6,4,0,66.6666666666667,0
tripadvisor.co.nz,6,0,0,0,0
tripadvisor.nl,6,1,0,16.6666666666667,0
wanderlog.com,6,0,0,0,0
admin.symphonygit.tambo.site,5,0,0,0,0
aol,5,0,0,0,0
bootkeyharbor.com,5,0,0,0,0
