Browser,All Sessions,Sessions with Product Views,Sessions with Add to Basket,Sessions with Check-Out,Sessions with Transactions,PC_Transactions
Safari,127923,0,0,8339,969,0.757486925728759
Chrome,90737,0,0,7288,1051,1.15829264798263
Safari (in-app),11142,0,0,349,12,0.107700592353258
Edge,10269,0,0,1179,195,1.89891907683319
Android Webview,5269,0,0,201,10,0.189789333839438
Firefox,3767,0,0,341,71,1.88478895672949
Samsung Internet,3475,0,0,237,14,0.402877697841727
Amazon Silk,443,0,0,19,2,0.451467268623025
Mozilla Compatible Agent,178,0,0,0,0,0
Internet Explorer,121,0,0,0,0,0
Opera,111,0,0,10,2,1.8018018018018
[FBAN,32,0,0,0,0,0
(not set),31,0,0,0,0,0
UC Browser,29,0,0,0,0,0
YaBrowser,14,0,0,0,0,0
jurgendata,8,0,0,0,0,0
Netscape,7,0,0,0,0,0
Puffin,6,0,0,0,0,0
Iron,4,0,0,0,0,0
Instagram 244.0.0.12.112,2,0,0,0,0,0
Instagram 248.1.0.13.112,2,0,0,0,0,0
Phoenix Browser,2,0,0,0,0,0
Android Browser,1,0,0,0,0,0
Coc Coc,1,0,0,0,0,0
Instagram 217.0.0.7.470,1,0,0,0,0,0
Instagram 239.2.0.17.109,1,0,0,0,0,0
Mozilla,1,0,0,0,0,0
Nokia6280,1,0,0,0,0,0
Opera Mini,1,0,0,0,0,0
Seznam,1,0,0,0,0,0
