Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
United States,96534,94702,83311,0.627592337,0.863022355,88.59401869,961306,29859,709373.55
Canada,2089,2058,1638,0.594987287,0.784107228,89.22498803,19278,582,13345.36
United Kingdom,1074,1053,955,0.638795987,0.889199255,97.04283054,11156,274,4344.85
(not set),998,998,4,0.003992016,0.004008016,0.174348697,3012,2,0
Germany,840,701,587,0.560114504,0.698809524,73.79285714,6933,150,2097.4
France,386,377,345,0.640074212,0.893782383,109.5699482,4854,130,5933.8
India,303,298,199,0.616099071,0.656765677,20.61386139,1528,7,0
Netherlands,204,198,177,0.67816092,0.867647059,76.33333333,1843,38,1139
Spain,188,186,140,0.576131687,0.744680851,88.81382979,1599,59,1755
Brazil,161,162,120,0.558139535,0.745341615,72.63975155,1310,39,567
Ireland,161,161,136,0.80952381,0.844720497,16.90062112,878,6,0
Italy,151,147,143,0.704433498,0.947019868,108.384106,1594,52,657
Switzerland,151,149,149,0.693023256,0.986754967,92.12582781,1598,52,917
Nigeria,144,144,93,0.58490566,0.645833333,24,805,11,0
Sweden,134,127,112,0.580310881,0.835820896,68.64925373,1221,36,1580.1
Denmark,107,101,123,0.736526946,1.14953271,133.5327103,1450,35,559.3
Indonesia,82,71,56,0.589473684,0.682926829,87.76829268,639,17,0
Mexico,82,76,75,0.700934579,0.914634146,67.19512195,779,21,179
Colombia,81,79,126,0.692307692,1.555555556,127.0617284,1605,44,8113.45
China,73,73,27,0.36,0.369863014,6.520547945,262,1,0
Finland,72,70,42,0.518518519,0.583333333,43.19444444,443,2,0
Argentina,64,63,79,0.766990291,1.234375,167.296875,1002,25,186
Philippines,62,62,54,0.710526316,0.870967742,37.83870968,502,4,0
Norway,59,55,66,0.666666667,1.118644068,114.9661017,797,17,143.65
Austria,57,55,50,0.657894737,0.877192982,63.63157895,408,4,0
Aruba,52,49,28,0.49122807,0.538461538,13.94230769,256,3,0
Australia,52,49,40,0.533333333,0.769230769,104.1730769,570,21,404.1
Belgium,46,45,45,0.703125,0.97826087,100.3695652,475,12,237
Israel,45,43,38,0.558823529,0.844444444,180.6444444,548,14,373.2
Puerto Rico,41,37,25,0.520833333,0.609756098,35.75609756,219,3,0
Poland,38,37,30,0.652173913,0.789473684,48.34210526,238,4,0
South Korea,38,38,8,0.205128205,0.210526316,11.39473684,166,5,0
